date,campaign_id,platform,spend
2026-01-12,cmp_100,Meta,371.54
2026-01-12,cmp_101,Google,560.84
2026-01-12,cmp_102,Newsletter,301.70
2026-01-13,cmp_100,Meta,605.57
2026-01-13,cmp_101,Google,406.22
2026-01-13,cmp_102,Newsletter,413.81
2026-01-14,cmp_100,Meta,585.56
2026-01-14,cmp_101,Google,279.48
2026-01-14,cmp_102,Newsletter,399.16
2026-01-15,cmp_100,Meta,613.53
2026-01-15,cmp_101,Google,196.58
2026-01-15,cmp_102,Newsletter,116.25
2026-01-16,cmp_100,Meta,523.89
2026-01-16,cmp_101,Google,161.98
2026-01-16,cmp_102,Newsletter,448.85
2026-01-17,cmp_100,Meta,171.29
2026-01-17,cmp_101,Google,466.07
2026-01-17,cmp_102,Newsletter,244.52
