date,campaign_id,platform,cost_usd
2026-01-30,cmp_100,facebook,637.77
2026-01-30,cmp_101,google,66.48
2026-01-30,cmp_102,email,463.28
2026-01-31,cmp_100,facebook,537.51
2026-01-31,cmp_101,google,414.75
2026-01-31,cmp_102,email,270.00
2026-02-01,cmp_100,facebook,105.21
2026-02-01,cmp_101,google,228.65
2026-02-01,cmp_102,email,559.85
2026-02-02,cmp_100,facebook,200.19
2026-02-02,cmp_101,google,93.39
2026-02-02,cmp_102,email,587.06
2026-02-03,cmp_100,facebook,502.52
2026-02-03,cmp_101,google,235.97
2026-02-03,cmp_102,email,341.13
2026-02-04,cmp_100,facebook,217.30
2026-02-04,cmp_101,google,610.39
2026-02-04,cmp_102,email,501.55
